Ticker,Name,Price,Chg,% Chg,5min Chg,60D Chg,YTD Chg,Bid,Ask,Bid Size,Ask Size,Volume,Turnover,Div Yield TTM,Open,Prev Close,High,Low,Turnover %,Change Rate,Range %,P/E TTM,P/E LFY,P/B,Vol Ratio,Bid/Ask Ratio,Pre-Mkt Price,Post-Mkt Price,Overnight Price,Pre-Mkt % Chg,Post-Mkt % Chg,Overnight % Chg,Pre-Mkt Turnover,Post-Mkt Turnover,Pre-Mkt Range %,Post-Mkt Range %,Pre-Mkt Chg,Post-Mkt Chg,Overnight Chg,Mkt Cap,Float Mkt Cap,Total Shares,Free Float,5D Chg,10D Chg,20D Chg,120D Chg,250D Chg,Industry,DJI Correlation,Nasdaq 100 Correlation,S&P 500 Correlation,Russell 2000 Correlation,SOX Correlation,VIX Correlation,HSI Correlation,HS TECH Correlation,FTSE China 50 Correlation,CSI 300 Correlation,FTSE A50 Correlation,Nikkei 225 Correlation,TOPIX Correlation,STI Correlation,KLSE Correlation,TSX Index Correlation,ASX200 Correlation,Underlying Options Volume,Underlying Options OI,Underlying IV,Underlying HV,Underlying IV - HV,IV Rank,IV Percentile,Strike,Expiration,OI,Premium,IV,Delta,Gamma,Theta,Vega,Rho,Trading Ends,Intrinsic Value,Extrinsic Value,Leverage Ratio,Effective Leverage,BEP,To BEP,Probability
0087.hk,SWIRE PACIFIC B,11.61,-0.01,-0.09%,-0.60%,-3.25%,10.36%,11.61,11.66,2500,2500,515000,5999950,5.89%,11.7,11.62,11.7,11.61,0.02%,-0.26%,0.78%,64.143,18.112,0.303,0.37,-35.00%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,33076106325,33076106325,2848932500,2848932500,-2.11%,-2.03%,-0.09%,12.28%,20.94%,Conglomerates,-,-,-,-,-,-,0.41,0.34,0.39,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
0839.hk,CHINA EDU GROUP,3.07,-0.04,-1.29%,-0.32%,11.23%,-6.94%,3.07,3.08,248000,6000,10099590,31130551,3.52%,3.13,3.11,3.18,3.05,0.36%,0.65%,4.18%,25.163,18.719,0.479,0.94,27.56%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,8596960496,8596960496,2800312865,2800312865,-0.97%,2.68%,-3.76%,23.29%,-37.46%,education,-,-,-,-,-,-,0.6,0.59,0.6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1171.hk,YANKUANG ENERGY,10.56,-0.32,-2.94%,0.19%,20.64%,29.34%,10.55,10.56,330000,178000,53870270,571368375,7.44%,10.88,10.88,10.93,10.5,1.32%,0.29%,3.95%,8.734,6.984,1.64,1.17,1.14%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,105995794544.64,43037280000,10037480544,4075500000,-6.22%,-2.31%,2.42%,42.04%,10.42%,Coal,-,-,-,-,-,-,0.32,0.21,0.32,-,-,-,-,-,-,-,-,770,36208,43.03%,27.25%,15.78%,65,85%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1179.hk,HWORLD-S,30.16,0.18,0.60%,0.53%,27.97%,22.53%,30.14,30.16,800,47100,797350,23943091,4.60%,30.5,29.98,30.5,29.84,0.03%,0.07%,2.20%,22.507,28.186,6.963,1.02,-57.77%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,92792704087,92792704087,3076681170,3076681170,0.27%,6.20%,0.13%,11.01%,8.05%,Hotels & Resorts,-,-,-,-,-,-,0.54,0.55,0.55,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1513.hk,LIVZON PHARMA,30.9,-0.1,-0.32%,0.06%,-17.60%,17.26%,30.9,30.92,1500,200,1178006,36510377,3.88%,30.9,31,31.3,30.64,0.39%,-0.19%,2.13%,11.902,12.55,1.826,1.11,-21.65%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,27936703287,9264039915,904100430,299807117,-4.86%,-4.16%,-8.31%,26.12%,13.60%,Pharmaceuticals,-,-,-,-,-,-,0.46,0.43,0.45,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1876.hk,BUD APAC,8.4,0.05,0.60%,-0.12%,3.83%,19.14%,8.39,8.4,68900,117000,22032173,185036511,5.24%,8.39,8.35,8.48,8.32,0.17%,0.00%,1.92%,23.863,19.718,1.375,2.59,-38.17%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,111244534800.00,111244534800.00,13243397000,13243397000,2.19%,2.56%,4.35%,6.73%,4.08%,Alcoholic Beverages,-,-,-,-,-,-,0.62,0.59,0.6,-,-,-,-,-,-,-,-,445,14910,31.74%,23.32%,8.41%,36,33%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2313.hk,SHENZHOU INTL,68.75,-1.7,-2.41%,0.00%,25.64%,15.86%,68.7,68.75,9200,117100,8635249,595156213,3.87%,70.4,70.45,70.6,68.1,0.57%,0.00%,3.55%,14.528,15.335,2.549,0.97,-9.79%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,103346539793.75,103346539793.75,1503222397,1503222397,2.77%,12.34%,15.55%,27.34%,17.94%,Apparel Manufacturing,-,-,-,-,-,-,0.64,0.62,0.62,-,-,-,-,-,-,-,-,421,14521,39.95%,40.13%,-0.18%,20,26%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2367.hk,GIANT BIOGENE,38,-0.7,-1.81%,-0.05%,-31.59%,-21.80%,37.98,38,39800,44000,15228375,586257136,3.44%,39.04,38.7,39.38,37.98,1.42%,-0.11%,3.62%,16.414,18.269,4.043,0.53,36.64%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,40694352000,40694352000,1070904000,1070904000,-3.11%,-24.23%,-29.82%,-51.22%,-28.36%,Skincare and cosmetics,-,-,-,-,-,-,0.39,0.38,0.38,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2648.hk,ANJOY FOOD,57.7,-0.3,-0.52%,0.17%,-2.18%,-1.26%,57.65,57.7,10000,400,222100,12816035,2.71%,58,58,58.1,57.45,0.56%,0.17%,1.12%,12.914,11.993,1.314,0.57,-2.26%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,19230771376,2307694190,333288932,39994700,-2.12%,-0.52%,-2.86%,-1.26%,-1.26%,packaged food,-,-,-,-,-,-,0.11,0.06,0.1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
2669.hk,CHINA OVS PPT,4.91,-0.01,-0.20%,0.00%,-7.36%,-0.30%,4.91,4.92,45000,5000,5661979,27771341,3.97%,4.93,4.92,4.94,4.88,0.17%,-0.20%,1.22%,9.533,9.879,2.631,0.8,39.78%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,16124245859,16124245859,3283960460,3283960460,1.03%,2.51%,-0.20%,-5.30%,-15.71%,Property Services & Management,-,-,-,-,-,-,0.57,0.53,0.56,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
6110.hk,TOPSPORTS,3.13,-0.08,-2.49%,0.00%,4.68%,10.61%,3.12,3.13,305000,185000,12848816,40487941,9.62%,3.21,3.21,3.23,3.12,0.21%,-0.32%,3.43%,14.694,13.911,1.971,0.61,5.73%,0,0,0,0.00%,0.00%,0.00%,0,0,0,0,0,0,0,19409824935,19409824935,6201222024,6201222024,-3.10%,-0.95%,-1.57%,1.96%,23.28%,Apparel Retailers,-,-,-,-,-,-,0.5,0.49,0.48,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
