Ticker,Name,TYPE,COUNTRY
GXC,SPDR S&P China ETF,ETF,
SPY,SPDR S&P 500 ETF,ETF,
NFLX,Netflix,ETF,
2823.HK,iShares FTSE A50 China Index ETF,ETF,
2823.HK,iShares FTSE A50 China Index ETF,ETF,
2801.HK,iShares Core MSCI China Index ETF,ETF,
2801.HK,iShares Core MSCI China Index ETF,ETF,
2822.HK,CSOP FTSE China A50 ETF,ETF,
2839.HK,ChinaAMC MSCI China A 50 Connect ETF,ETF,
2839.HK,ChinaAMC MSCI China A 50 Connect ETF,ETF,
3403.HK,ChinaAMC HSI ESG ETF,ETF,
3403.HK,ChinaAMC HSI ESG ETF,ETF,
3088.HK,ChinaAMC Hang Seng TECH Index ETF,ETF,
3088.HK,ChinaAMC Hang Seng TECH Index ETF,ETF,
3188.HK,ChinaAMC CSI 300 Index ETF,ETF,
G3B.SI,Amova Singapore STI ETF,ETF,
G3B.SI,Amova Singapore STI ETF,ETF,
510180.SS,180ETF,ETF,
510180.SS,180ETF,ETF,
PM,Philip Morris International,STOCK,US
NVDA,NVIDIA,STOCK,US
AMD,Advanced Micro Devices,STOCK,US
KR,The Kroger Co.,STOCK,US
NUE,Nucor,STOCK,US
BRK-B,Berkshire Hathaway-B,STOCK,US
ABT,Abbott Laboratories,STOCK,US
IBKR,Interactive Brokers,STOCK,US
INTC,Intel,STOCK,US
PBI,Pitney Bowes,STOCK,US
CHA,Chagee Holdings,STOCK,US
GOOG,Alphabet-C,STOCK,US
WFC,Wells Fargo & Co,STOCK,US
PCN,PIMCO Corporate & Income Strategy Fund,STOCK,US
KMB,Kimberly-Clark,STOCK,US
AAPL,Apple,STOCK,US
COST,Costco,STOCK,US
AMZN,Amazon,STOCK,US
TSLA,Tesla,STOCK,US
FUTU,Moomoo,STOCK,US
1969.HK,CHINA CHUNLAI,STOCK,HK
9618.HK,JD-SW,STOCK,HK
6690.HK,HAIER SMARTHOME,STOCK,HK
0700.HK,TENCENT,STOCK,HK
